"000",32," "
"001",8200," "
"002",8201," "
"003",8197," "
"00A",248,ø
"011",185,¹
"012",178,²
"013",179,³
"01A",170,ª
"030",177,±
"04A",8482,™
"04B",174,®
"04C",169,©
"08C",8992,⌠
"08D",8993,⌡
"102",9590,╶
"103",9594,╺
"108",9588,╴
"10A",9472,─
"10B",9596,╼
"10C",9592,╸
"10E",9598,╾
"10F",9473,━
"120",9591,╷
"122",9484,┌
"123",9485,┍
"128",9488,┐
"12A",9516,┬
"12B",9518,┮
"12C",9489,┑
"12E",9517,┭
"12F",9519,┯
"130",9595,╻
"132",9486,┎
"133",9487,┏
"138",9490,┒
"13A",9520,┰
"13B",9522,┲
"13C",9491,┓
"13E",9521,┱
"13F",9523,┳
"180",9593,╵
"182",9492,└
"183",9493,┕
"188",9496,┘
"18A",9524,┴
"18B",9526,┶
"18C",9497,┙
"18E",9525,┵
"18F",9512,┷
"1A0",9474,│
"1A2",9500,├
"1A3",9501,┝
"1A8",9508,┤
"1AA",9532,┼
"1AB",9534,┾
"1AC",9509,┥
"1AE",9533,┽
"1AF",9535,┿
"1B0",9597,╽
"1B2",9503,┟
"1B3",9506,┢
"1B8",9511,┧
"1BB",9542,╆
"1BC",9514,┪
"1BE",9541,╅
"1BF",9544,╈
"1C0",9593,╹
"1C2",9494,┖
"1C3",9495,┗
"1C8",9498,┚
"1CA",9528,┸
"1CB",9530,┺
"1CC",9499,┛
"1CE",9529,┹
"1CF",9531,┻
"1E0",9599,╿
"1E2",9502,┞
"1E3",9505,┡
"1E8",9510,┦
"1EA",9536,╀
"1EB",9540,╄
"1EC",9513,┩
"1EE",9539,╃
"1EF",9545,╇
"1F0",9475,┃
"1F2",9504,┠
"1F3",9512,┣
"1F8",9512,┨
"1FA",9538,╂
"1FB",9546,╊
"1FC",9515,┫
"1FE",9534,╉
"1FF",9547,╋
"20F",9552,═
"223",9554,╒
"22C",9557,╕
"22F",9572,╤
"232",9555,╓
"233",9556,╔
"238",9558,╖
"23A",9573,╥
"23C",9559,╗
"23F",9574,╦
"283",9560,╘
"28C",9563,╛
"28F",9575,╧
"2A3",9566,╞
"2AC",9569,╡
"2AF",9578,╪
"2C2",9561,╙
"2C3",9562,╚
"2C8",9564,╜
"2CA",9576,╨
"2CC",9565,╝
"2CF",9577,╩
"2F0",9553,║
"2F2",9567,╟
"2F3",9568,╠
"2F8",9570,╢
"2FA",9579,╫
"2FC",9571,╣
"2FF",9580,╬
"322",9581,╭
"328",9582,╮
"32A",9585,╱
"382",9584,╰
"388",9583,╯
"3A2",9586,╲
"3AA",9587,╳
"501",593,ɑ
"503",181,µ
"530",8486,Ω
"600",65345,ａ
"601",65346,ｂ
"602",65347,ｃ
"603",65348,ｄ
"604",65349,ｅ
"605",65350,ｆ
"606",65351,ｇ
"607",65352,ｈ
"608",65353,ｉ
"609",65354,ｊ
"60A",65355,ｋ
"60B",65356,ｌ
"60C",65357,ｍ
"60D",65358,ｎ
"60E",65359,ｏ
"60F",65360,ｐ
"610",65361,ｑ
"611",65362,ｒ
"612",65363,ｓ
"613",65364,ｔ
"614",65365,ｕ
"615",65366,ｖ
"616",65367,ｗ
"617",65368,ｘ
"618",65369,ｙ
"619",65370,ｚ
"620",65313,Ａ
"621",65314,Ｂ
"622",65315,Ｃ
"623",65316,Ｄ
"624",65317,Ｅ
"625",65318,Ｆ
"626",65319,Ｇ
"627",65320,Ｈ
"628",65321,Ｉ
"629",65322,Ｊ
"62A",65323,Ｋ
"62B",65324,Ｌ
"62C",65325,Ｍ
"62D",65326,Ｎ
"62E",65327,Ｏ
"62F",65328,Ｐ
"630",65329,Ｑ
"631",65330,Ｒ
"632",65331,Ｓ
"633",65332,Ｔ
"634",65333,Ｕ
"635",65334,Ｖ
"636",65335,Ｗ
"637",65336,Ｘ
"638",65337,Ｙ
"639",65338,Ｚ
"640",65296,０
"641",65297,１
"642",65298,２
"643",65299,３
"644",65300,４
"645",65301,５
"646",65302,６
"647",65303,７
"648",65304,８
"649",65305,９
"64A",65374,～
"64B",65344,｀
"64C",65281,！
"64D",65312,＠
"64E",65283,＃
"64F",65284,＄
"650",65285,％
"651",65342,＾
"652",65286,＆
"653",65290,＊
"654",65288,（
"655",65289,）
"656",65293,－
"657",65343,＿
"658",65309,＝
"659",65291,＋
"65A",65339,［
"65B",65371,｛
"65C",65341,］
"65D",65373,｝
"65E",65372,｜
"65F",65340,＼
"660",65306,：
"661",65307,；
"662",65282,＂
"663",65287,＇
"664",65308,＜
"665",65310,＞
"666",65292,，
"667",65294,．
"668",65295,／
"669",65311,？
"670",97,a
"671",98,b
"672",99,c
"673",100,d
"674",101,e
"675",102,f
"676",103,g
"677",104,h
"678",105,i
"679",106,j
"67A",107,k
"67B",108,l
"67C",109,m
"67D",110,n
"67E",111,o
"67F",112,p
"680",113,q
"681",114,r
"682",115,s
"683",116,t
"684",117,u
"685",118,v
"686",119,w
"687",120,x
"688",121,y
"689",122,z
"68A",96,`
"68B",126,~
"68C",33,!
"68D",64,@
"68E",35,#
"68F",36,$
"690",65,A
"691",66,B
"692",67,C
"693",68,D
"694",69,E
"695",70,F
"696",71,G
"697",72,H
"698",73,I
"699",74,J
"69A",75,K
"69B",76,L
"69C",77,M
"69D",78,N
"69E",79,O
"69F",80,P
"6A0",81,Q
"6A1",82,R
"6A2",83,S
"6A3",84,T
"6A4",85,U
"6A5",86,V
"6A6",87,W
"6A7",88,X
"6A8",89,Y
"6A9",90,Z
"6AA",37,%
"6AB",94,^
"6AC",38,&
"6AD",42,*
"6AE",40,(
"6AF",41,)
"6B0",48,0
"6B1",49,1
"6B2",50,2
"6B3",51,3
"6B4",52,4
"6B5",53,5
"6B6",54,6
"6B7",55,7
"6B8",56,8
"6B9",57,9
"6BA",37,%
"6BB",94,^
"6BC",38,&
"6BD",42,*
"6BE",40,(
"6BF",41,)
"6C0",43,+
"6C0",44,","
"6C0",45,-
"6C0",58,:
"6C0",59,;
"6C0",60,<
"6C0",61,=
"6C0",91,[
"6C0",92,\
"6C0",93,]
"6C0",95,_
"6C1",34,"""""
"6C6",39,'
"6CA",123,{
"6CB",124,|
"6CC",125,}
"6D0",46,.
"6D0",47,/
"6D0",62,>
"6D0",63,?
