MissionName,MissionTime,Altitude,Pressure(Atm),Pressure(kPa)
Prodigal A-II,391.623,139991.381512456,6.73201111600983E-15,6.82121026329696E-13
Prodigal A-II,391.643,139973.566059267,7.40521222761081E-14,7.50333128962666E-12
Prodigal A-II,391.663,139955.747072037,2.13180352006978E-13,2.1600499167107E-11
Prodigal A-II,391.703,139918.618475758,7.20325189413052E-13,7.29869498172775E-11
Prodigal A-II,391.724,139898.925096476,1.11078183414162E-12,1.125499693444E-10
Prodigal A-II,391.746,139878.443497415,1.60670665302101E-12,1.62799551617354E-10
Prodigal A-II,391.769,139857.138286412,2.21707566087257E-12,2.24645191337913E-10
Prodigal A-II,391.793,139834.974016733,2.95984088733899E-12,2.99905877909623E-10
Prodigal A-II,391.818,139811.915180889,3.84173434353628E-12,3.89263732358813E-10
Prodigal A-II,391.844,139787.92620966,4.88295206281246E-12,4.94765117764473E-10
Prodigal A-II,391.871,139762.971466924,6.09920207110491E-12,6.18001649854705E-10
Prodigal A-II,391.928,139710.004317949,7.50170438694029E-12,7.60110197006725E-10
Prodigal A-II,391.928,139681.902804054,1.096644610798E-11,1.11117515189108E-09
Prodigal A-II,391.99,139652.674752926,1.30668335761751E-11,1.32399691210594E-09
Prodigal A-II,392.022,139622.266642188,1.54432335001266E-11,1.56478563440032E-09
Prodigal A-II,392.056,139590.624841078,1.81315499391198E-11,1.83717929758132E-09
Prodigal A-II,392.092,139557.71309338,2.11497349227976E-11,2.14299689105246E-09
Prodigal A-II,392.128,139523.477539876,2.45359365141505E-11,2.4861037672963E-09
Prodigal A-II,392.167,139487.846682702,2.83238147687587E-11,2.86991053144448E-09
Prodigal A-II,392.206,139450.783856922,3.25515177496129E-11,3.29828253597952E-09
Prodigal A-II,392.291,139372.092399866,4.24812341457274E-11,4.30441104981583E-09
Prodigal A-II,392.336,139330.337109198,4.82797397203172E-11,4.89194462716114E-09
Prodigal A-II,392.382,139286.8965438,5.47043223286959E-11,5.54291545995511E-09
Prodigal A-II,392.431,139241.698141076,6.18043500523809E-11,6.2623257690575E-09
Prodigal A-II,392.481,139194.669110089,6.96471430025324E-11,7.05699676473159E-09
Prodigal A-II,392.533,139145.736315781,7.8297777286605E-11,7.93352228356525E-09
Prodigal A-II,392.588,139094.80879354,8.78280610231696E-11,8.89917828317266E-09
Prodigal A-II,392.644,139041.81286416,9.83142903382076E-11,9.96169546851888E-09
Prodigal A-II,392.763,138933.721902019,1.21501580625451E-10,1.23111476568738E-08
Prodigal A-II,392.823,138879.628810604,1.34002925267881E-10,1.3577846402768E-08
Prodigal A-II,392.883,138825.503974629,1.47112394914457E-10,1.49061634147074E-08
Prodigal A-II,392.943,138771.347388864,1.60827745561475E-10,1.62958713190164E-08
Prodigal A-II,393.003,138717.159041824,1.75144489201522E-10,1.77465153683443E-08
Prodigal A-II,393.063,138662.938925747,1.90067113842011E-10,1.92585503100418E-08
Prodigal A-II,393.123,138608.687029577,2.0559113147553E-10,2.0831521396758E-08
Prodigal A-II,393.183,138554.403345886,2.21718786105784E-10,2.24656560021685E-08
Prodigal A-II,393.303,138445.740625918,2.38445589725363E-10,2.41604993789224E-08
Prodigal A-II,393.363,138391.361587234,2.73703375943612E-10,2.77329945674865E-08
Prodigal A-II,393.423,138336.950760089,2.92223138523755E-10,2.96095095109195E-08
Prodigal A-II,393.483,138282.50814195,3.11344294096928E-10,3.15469605993712E-08
Prodigal A-II,393.543,138228.033737878,3.31064598659426E-10,3.35451204591664E-08
Prodigal A-II,393.543,138173.527547269,3.51377320200133E-10,3.56033069692785E-08
Prodigal A-II,393.663,138118.989569277,3.72289190730165E-10,3.7722202250734E-08
Prodigal A-II,393.723,138064.419796388,3.9378674622729E-10,3.99004420614801E-08
Prodigal A-II,393.783,138009.818221797,4.15881206710034E-10,4.21391632698942E-08
Prodigal A-II,393.903,137900.519631768,4.61842890602738E-10,4.67962308903225E-08
Prodigal A-II,393.963,137845.822607243,4.85701137997877E-10,4.92136678076349E-08
Prodigal A-II,394.023,137791.093761791,5.10158534382341E-10,5.16918134962907E-08
Prodigal A-II,394.083,137736.333092513,5.35201615733898E-10,5.42293037142372E-08
Prodigal A-II,394.143,137681.540598396,5.60825894045136E-10,5.68256837141234E-08
Prodigal A-II,394.203,137626.716277555,5.87040345330879E-10,5.94818629906513E-08
Prodigal A-II,394.263,137571.860129204,6.13840481583714E-10,6.21973867964698E-08
Prodigal A-II,394.323,137516.972153208,6.41224058799936E-10,6.49720277579036E-08
Prodigal A-II,394.443,137407.100714868,6.97734804111428E-10,7.06979790265905E-08
Prodigal A-II,394.503,137352.117260409,7.26852996191876E-10,7.36483798391419E-08
Prodigal A-II,394.563,137297.101991135,7.56559117243122E-10,7.66583525546594E-08
Prodigal A-II,394.623,137242.054912696,7.86844191250345E-10,7.97269876784412E-08
Prodigal A-II,394.683,137186.976037513,8.17712706220956E-10,8.28547399578383E-08
Prodigal A-II,394.743,137131.865367578,8.49148954129016E-10,8.60400177771226E-08
Prodigal A-II,394.803,137076.72289958,8.81161910989348E-10,8.92837306309957E-08
Prodigal A-II,394.863,137021.54862921,9.13749332798246E-10,9.25856511457823E-08
Prodigal A-II,394.983,136911.104686356,9.80636351243215E-10,9.93629782897187E-08
Prodigal A-II,395.043,136855.835042208,1.01494716789781E-09,1.02839521787246E-07
Prodigal A-II,395.103,136800.533625265,1.04981674147504E-09,1.06372681329958E-07
Prodigal A-II,395.163,136745.200429149,1.08525404798971E-09,1.09963366412558E-07
Prodigal A-II,395.223,136689.835432704,1.12127030746037E-09,1.13612713903422E-07
Prodigal A-II,395.283,136634.438635556,1.15784307984994E-09,1.17318450065795E-07
