MISSION_TIME,Pressure,Q-Pressure,AirSpeed,VerticalSpeed,GroundSpeed
0,53,0.99374,3E-05,2.52,2.52,0.01
0.02,53,0.99373,3E-05,2.58,2.58,0.01
0.04,53,0.99373,3E-05,2.63,2.63,0.01
0.06,53,0.99372,3E-05,2.69,2.69,0.01
0.08,53,0.99371,3E-05,2.75,2.75,0.02
0.1,53,0.99371,4E-05,2.81,2.81,0.02
0.12,53,0.9937,4E-05,2.87,2.87,0.02
0.14,54,0.99369,4E-05,2.93,2.93,0.02
0.16,54,0.99369,4E-05,2.98,2.98,0.02
0.18,54,0.99368,4E-05,3.04,3.04,0.02
0.2,54,0.99367,5E-05,3.1,3.1,0.02
0.22,54,0.99367,5E-05,3.16,3.16,0.02
0.24,54,0.99366,5E-05,3.22,3.22,0.02
0.26,54,0.99365,5E-05,3.27,3.27,0.02
0.28,54,0.99364,5E-05,3.33,3.33,0.02
0.3,54,0.99363,5E-05,3.39,3.39,0.02
0.32,54,0.99363,6E-05,3.45,3.45,0.02
0.34,54,0.99362,6E-05,3.51,3.51,0.02
0.36,54,0.99361,6E-05,3.57,3.57,0.02
0.38,54,0.9936,6E-05,3.63,3.63,0.02
0.4,54,0.99359,7E-05,3.69,3.69,0.02
0.42,54,0.99358,7E-05,3.74,3.74,0.02
0.44,55,0.99358,7E-05,3.8,3.8,0.02
0.46,55,0.99357,7E-05,3.86,3.86,0.02
0.48,55,0.99356,8E-05,3.92,3.92,0.02
0.5,55,0.99355,8E-05,3.98,3.98,0.02
0.52,55,0.99354,8E-05,4.04,4.04,0.02
0.54,55,0.99353,8E-05,4.1,4.1,0.02
0.56,55,0.99352,9E-05,4.16,4.16,0.02
0.58,55,0.99351,9E-05,4.22,4.22,0.02
0.6,55,0.9935,9E-05,4.27,4.27,0.02
0.62,55,0.99349,9E-05,4.33,4.33,0.02
0.64,55,0.99348,0.0001,4.39,4.39,0.03
0.66,55,0.99347,0.0001,4.45,4.45,0.03
0.68,56,0.99346,0.0001,4.51,4.51,0.03
0.7,56,0.99345,0.0001,4.57,4.57,0.03
0.72,56,0.99344,0.00011,4.63,4.63,0.03
0.74,56,0.99342,0.00011,4.69,4.69,0.03
0.76,56,0.99341,0.00011,4.75,4.75,0.03
0.78,56,0.9934,0.00012,4.81,4.81,0.03
0.8,56,0.99339,0.00012,4.87,4.87,0.03
0.82,56,0.99338,0.00012,4.93,4.93,0.03
0.84,56,0.99337,0.00013,4.99,4.99,0.03
0.86,56,0.99336,0.00013,5.05,5.05,0.03
0.88,56,0.99334,0.00013,5.11,5.11,0.03
0.9,57,0.99333,0.00014,5.17,5.16,0.03
0.92,57,0.99332,0.00014,5.22,5.22,0.03
0.94,57,0.99331,0.00014,5.28,5.28,0.03
0.96,57,0.99329,0.00015,5.34,5.34,0.03
0.98,57,0.99328,0.00015,5.4,5.4,0.03
1,57,0.99327,0.00015,5.46,5.46,0.03
1.02,57,0.99326,0.00016,5.52,5.52,0.03
1.04,57,0.99324,0.00016,5.58,5.58,0.03
1.06,57,0.99323,0.00016,5.64,5.64,0.03
1.08,58,0.99322,0.00017,5.7,5.7,0.03
1.1,58,0.9932,0.00017,5.76,5.76,0.03
1.12,58,0.99319,0.00018,5.82,5.82,0.03
1.14,58,0.99317,0.00018,5.88,5.88,0.03
