[MET:0][INFO] KSCLog initialized
[MET:0][INFO] localLog initialized
[MET:0][INFO] [lib_tag.ks] Loading library
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4288282086, probeCoreOcto.v2,  -> command.drone.core]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4292984928, solarPanels5,  -> power.solar.fixed]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4292983564, solarPanels5,  -> power.solar.fixed]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4292983510, solarPanels5,  -> power.solar.fixed]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4292983456, solarPanels5,  -> power.solar.fixed]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4292611458, solarPanels5,  -> power.solar.fixed]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4286101674, solarPanels5,  -> power.solar.fixed]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4283545728, sasModule,  -> control.rw]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4286024286, USAdaptorShroud0625,  -> bay.doors.us]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4286013078, batteryPack,  -> power.battery.radial]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4286012976, batteryPack,  -> power.battery.radial]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4286007704, GooExperiment, expId.1]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4286003146, GooExperiment, expId.2]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4283834162, sensorBarometer,  -> sci.barometer]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4292979830, sensorThermometer,  -> sci.thermometer]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4285988110, HeatShield1,  -> thermal.heatShield]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4292255742, ShroudedDecoupler,  -> decoupler]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4282634492, proceduralTankLiquid,  -> tank.procedural.lfo]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4283598224, restock-engine-125-pug,  -> engine.lfo]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4283594080, ShroudedDecoupler,  -> decoupler]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4283561840, proceduralTankLiquid,  -> tank.procedural.lfo]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4292254458, proceduralTankLiquid,  -> tank.procedural.lfo]
