[MET:0][INFO] KSCLog initialized
[MET:0][INFO] localLog initialized
[MET:0][INFO] [lib_tag.ks] Loading library
[MET:0][INFO] [tag_parts_by_title] Part missing reference tag: [(probeCoreHex.v2)]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4291039354, sasModule,  -> control.rw]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4291033826, SurfAntenna,  -> comm.omni]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290974658, USAdaptorShroud0625,  -> bay.doors.us]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290965444, batteryPack,  -> power.battery.radial]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290965330, batteryPack,  -> power.battery.radial]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4291032380, HeatShield1,  -> thermal.heatShield]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290928250, ShroudedDecoupler,  -> decoupler]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290923794, science.module,  -> sci.matBay]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290922866, ShroudedDecoupler,  -> decoupler]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290922810, proceduralTankLiquid,  -> tank.procedural.lfo]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290922730, restock-engine-125-pug,  -> engine.lfo]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290920954, ShroudedDecoupler,  -> decoupler]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290920898, proceduralTankLiquid,  -> tank.procedural.lfo]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290829540, proceduralTankLiquid,  -> tank.procedural.lfo]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290920818, proceduralTankLiquid,  -> tank.procedural.lfo]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290920738, proceduralTankLiquid,  -> tank.procedural.lfo]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290920658, liquidEngine2,  -> engine.lfo]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290920258, AM.MLP.SmallLaunchStand,  -> launch.stand]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4290944460, GooExperiment, ]
[MET:0][WARN] [tag_parts_by_title] Part already tagged [4290942732, GooExperiment, ]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290931518, sensorBarometer,  -> sci.barometer]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4290931076, sensorThermometer,  -> sci.thermometer]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4291038486, KR-2042,  -> control.kos.cpu]
[MET:0][INFO] [tag_parts_by_title] Part tag updated [4291029138, RC.cone,  -> chute.cone]
[MET:0][INFO] [set_bay_ids] Untagged UniversalStorage bay module found: [4290974658, USAdaptorShroud0625, bay.doors.us]
[MET:0][INFO] [set_us_bay_core_id] Checking parent part for untagged US bay core: [4291039354, Small Inline Reaction Wheel, control.rw]
[MET:0][INFO] [set_us_bay_core_id] Checking child part for untagged US bay core: [4290965444, Z-100 Rechargeable Battery Pack, power.battery.radial]
[MET:0][INFO] [set_us_bay_core_id] Checking child part for untagged US bay core: [4290965330, Z-100 Rechargeable Battery Pack, power.battery.radial]
